employee_id,gender,company_type,wfh_setup_available,designation,resource_allocation,mental_fatigue_score,hours_per_week,years_experience,team_size,burn_rate
EMP_00036,Female,Service,No,1,7.3,2.95,37,16,12,0.3394
EMP_00037,Male,Product,Yes,5,8.4,9.53,34,10,21,0.6713
EMP_00038,Male,Product,Yes,5,9.1,5.2,46,13,7,0.6773
EMP_00039,Female,Product,Yes,2,2.0,1.83,52,15,7,0.1491
EMP_00040,Male,Service,Yes,4,9.0,1.08,31,8,25,0.5479
EMP_00041,Male,Service,Yes,5,2.8,5.42,56,7,24,0.589
EMP_00042,Male,Product,Yes,3,7.6,3.75,50,14,13,0.5383
EMP_00043,Male,Service,No,4,7.6,1.93,36,6,21,0.6657
EMP_00044,Female,Product,Yes,1,1.1,0.31,67,8,14,0.1885
EMP_00045,Male,Service,Yes,4,3.0,5.67,55,15,19,0.3988
EMP_00046,Female,Product,Yes,2,5.4,5.99,59,17,24,0.3831
EMP_00047,Male,Service,Yes,1,4.8,1.42,41,5,29,0.2813
EMP_00048,Male,Product,Yes,5,9.3,6.02,40,12,24,0.5981
EMP_00049,Male,Product,No,1,4.2,9.52,46,13,22,0.2596
EMP_00050,Male,Product,Yes,1,9.4,9.78,39,3,17,0.6301
EMP_00051,Non-binary,Service,No,2,5.1,8.88,45,19,20,0.3164
EMP_00052,Female,Product,Yes,3,9.7,8.07,44,15,11,0.5827
EMP_00053,Non-binary,Service,No,1,7.6,2.09,44,18,24,0.3541
EMP_00054,Female,Product,Yes,3,8.5,1.56,49,7,19,0.5985
EMP_00055,Female,Product,Yes,4,1.9,4.45,33,14,26,0.2746
EMP_00056,Female,Product,No,2,6.3,6.2,61,19,28,0.4008
EMP_00057,Male,Service,Yes,5,2.3,8.51,51,11,25,0.4779
EMP_00058,Male,Product,No,1,3.7,2.32,64,7,29,0.4294
EMP_00059,Male,Service,Yes,3,6.6,4.8,43,11,13,0.453
EMP_00060,Male,Service,No,1,7.5,6.47,59,8,8,0.4253
EMP_00061,Male,Service,No,2,1.4,4.46,60,10,14,0.2514
EMP_00062,Male,Product,No,5,5.8,4.54,39,11,13,0.5333
EMP_00063,Female,Service,Yes,4,6.1,2.25,35,1,29,0.4624
EMP_00064,Male,Service,Yes,4,1.7,9.87,56,10,19,0.4202
EMP_00065,Male,Product,No,3,5.5,4.75,40,7,12,0.4911
EMP_00066,Male,Service,No,4,7.4,5.33,65,3,15,0.6473
EMP_00067,Male,Product,No,3,1.5,2.19,39,19,7,0.1734
EMP_00068,Female,Product,Yes,5,7.8,5.14,45,4,6,0.7297
EMP_00069,Male,Product,No,1,6.2,2.55,53,6,9,0.4227
EMP_00070,Non-binary,Product,Yes,2,8.5,2.02,50,1,17,0.602
EMP_00071,Female,Product,Yes,5,3.0,2.76,69,4,4,0.5563
EMP_00072,Male,Product,Yes,5,8.5,0.03,65,7,19,0.7337
EMP_00073,Male,Service,Yes,4,1.9,5.7,52,11,25,0.4572
EMP_00074,Female,Product,No,4,4.6,3.87,50,6,26,0.538
EMP_00075,Female,Product,Yes,2,2.8,8.99,61,5,23,0.3072
EMP_00076,Female,Product,No,1,8.9,0.41,46,12,10,0.4587
EMP_00077,Female,Service,Yes,5,7.3,0.43,46,2,18,0.7548
EMP_00078,Male,Service,Yes,4,1.2,8.86,50,18,22,0.3096
EMP_00079,Male,Service,Yes,5,1.1,1.27,33,9,26,0.2383
EMP_00080,Male,Service,Yes,1,3.6,0.02,52,14,29,0.187
EMP_00081,Female,Product,Yes,3,2.3,1.79,54,12,5,0.3138
EMP_00082,Female,Service,No,1,6.7,8.24,61,9,25,0.4388
EMP_00083,Male,Product,No,5,7.0,8.03,35,1,24,0.7563
EMP_00084,Male,Product,Yes,5,9.5,3.4,43,7,19,0.6702
EMP_00085,Male,Service,Yes,2,9.6,6.68,67,7,7,0.6668
EMP_00086,Male,Product,Yes,5,6.9,5.07,67,10,16,0.6771
EMP_00087,Female,Service,No,4,1.1,9.05,45,2,16,0.4947
EMP_00088,Female,Service,Yes,2,4.2,0.56,61,4,16,0.4179
EMP_00089,Female,Product,Yes,5,5.6,8.13,45,8,13,0.6507
EMP_00090,Male,Product,Yes,1,5.5,1.71,48,14,22,0.2996
EMP_00091,Male,Product,No,5,6.4,3.92,66,13,15,0.6174
EMP_00092,Female,Service,Yes,1,9.6,1.92,50,16,24,0.4489
EMP_00093,Female,Service,Yes,1,9.0,7.03,44,7,11,0.4411
EMP_00094,Female,Product,No,5,2.0,6.78,55,10,22,0.506
EMP_00095,Female,Product,No,1,3.4,5.48,59,11,4,0.3439
EMP_00096,Male,Service,No,3,8.5,6.98,69,11,14,0.65
EMP_00097,Male,Service,Yes,2,8.4,6.4,44,6,10,0.535
EMP_00098,Male,Product,No,5,3.5,7.76,42,12,18,0.405
EMP_00099,Male,Product,No,3,7.6,2.39,56,10,3,0.5292
EMP_00100,Male,Service,No,1,7.0,4.29,52,9,18,0.438
EMP_00101,Male,Product,No,1,5.3,1.52,63,6,8,0.4279
EMP_00102,Female,Product,No,2,2.8,4.3,63,9,22,0.3782
EMP_00103,Male,Service,Yes,3,9.0,7.02,52,3,8,0.6385
EMP_00104,Male,Service,Yes,3,7.1,6.91,49,7,5,0.523
EMP_00105,Female,Product,No,5,2.5,7.09,38,3,11,0.4789
EMP_00106,Male,Product,Yes,1,7.3,3.09,49,8,21,0.4265
EMP_00107,Male,Product,Yes,4,7.7,6.62,68,8,5,0.7216
EMP_00108,Female,Product,Yes,5,9.0,3.67,43,13,23,0.5869
EMP_00109,Male,Service,No,5,3.0,9.44,55,2,9,0.6045
EMP_00110,Male,Product,Yes,5,9.9,3.43,56,14,16,0.7256
EMP_00111,Male,Service,No,2,2.4,6.03,63,5,24,0.3503
EMP_00112,Male,Service,No,2,6.4,7.5,58,13,16,0.4871
EMP_00113,Female,Product,Yes,5,6.9,9.06,61,13,25,0.6889
EMP_00114,Female,Product,Yes,4,4.8,4.38,34,19,27,0.2731
EMP_00115,Female,Product,Yes,3,5.3,3.6,33,3,5,0.556
EMP_00116,Female,Service,Yes,3,9.0,4.3,52,14,7,0.5776
EMP_00117,Female,Service,Yes,1,6.8,3.24,50,4,7,0.4825
EMP_00118,Male,Product,Yes,3,5.5,6.54,62,10,21,0.5369
EMP_00119,Female,Service,No,3,2.2,9.33,53,6,29,0.4133
EMP_00120,Male,Service,Yes,4,1.1,1.26,45,6,12,0.3125
EMP_00121,Female,Service,No,3,2.1,5.61,61,2,11,0.4393
EMP_00122,Female,Product,Yes,4,9.6,8.98,48,2,18,0.7661
EMP_00123,Male,Product,No,2,7.9,1.0,55,19,11,0.4492
EMP_00124,Male,Service,Yes,4,9.7,4.94,32,3,8,0.7662
EMP_00125,Male,Product,No,2,1.3,8.65,64,4,7,0.3487
EMP_00126,Male,Product,No,4,7.1,9.0,68,4,6,0.6641
EMP_00127,Female,Product,No,5,1.4,5.14,47,11,22,0.3921
EMP_00128,Female,Product,Yes,2,8.0,0.25,36,3,23,0.4687
EMP_00129,Male,Product,No,2,4.4,1.06,61,17,20,0.2738
EMP_00130,Male,Service,Yes,3,1.9,5.87,53,9,18,0.3111
EMP_00131,Male,Product,Yes,2,6.1,1.24,45,14,26,0.3047
EMP_00132,Male,Product,Yes,4,3.5,1.49,53,2,9,0.4277
EMP_00133,Male,Service,Yes,5,6.9,7.72,33,14,16,0.6324
EMP_00134,Male,Product,Yes,5,6.9,7.51,61,3,25,0.7828
EMP_00135,Non-binary,Product,No,3,7.3,8.43,63,2,19,0.6639
EMP_00136,Male,Service,Yes,4,9.9,1.06,48,1,10,0.6842
EMP_00137,Male,Service,Yes,4,4.5,1.98,43,4,13,0.395
EMP_00138,Female,Service,Yes,1,5.2,8.33,67,10,19,0.4149
EMP_00139,Male,Service,No,2,8.2,7.21,42,15,16,0.5097
EMP_00140,Non-binary,Product,Yes,3,6.2,8.06,51,12,11,0.4973
EMP_00141,Non-binary,Service,Yes,5,1.3,9.9,60,6,8,0.5405
EMP_00142,Male,Product,No,1,8.6,8.64,59,3,10,0.5774
EMP_00143,Male,Service,Yes,4,1.5,5.2,52,3,19,0.4088
EMP_00144,Male,Product,Yes,2,2.5,3.11,41,19,24,0.2166
EMP_00145,Male,Service,Yes,5,1.9,5.7,43,4,15,0.3903
EMP_00146,Male,Service,No,1,1.7,6.39,65,19,15,0.2094
EMP_00147,Female,Service,No,4,1.2,3.35,37,14,19,0.2748
EMP_00148,Male,Product,Yes,5,1.5,7.71,53,4,21,0.4717
EMP_00149,Male,Product,Yes,5,5.0,0.93,32,8,4,0.5545
EMP_00150,Male,Service,Yes,4,3.3,7.79,43,19,20,0.3902
EMP_00151,Female,Service,No,4,2.1,0.32,40,19,6,0.1747
EMP_00152,Male,Product,No,3,6.9,4.98,67,1,9,0.6298
EMP_00153,Male,Service,Yes,5,3.0,8.61,57,15,18,0.4378
EMP_00154,Male,Service,Yes,4,1.2,0.86,52,11,21,0.3153
EMP_00155,Non-binary,Product,No,1,4.8,5.18,47,9,17,0.2927
EMP_00156,Male,Service,No,2,3.8,1.59,49,3,25,0.3317
EMP_00157,Female,Product,No,3,3.9,8.95,62,18,27,0.3933
EMP_00158,Female,Product,No,4,5.0,8.32,31,19,16,0.3949
EMP_00159,Male,Product,No,2,7.0,9.34,68,16,15,0.4709
EMP_00160,Female,Service,Yes,3,6.5,8.75,66,16,22,0.4856
EMP_00161,Male,Service,Yes,5,9.4,7.37,55,3,9,0.732
EMP_00162,Female,Product,Yes,2,5.7,1.85,31,18,17,0.304
EMP_00163,Female,Service,No,3,5.3,3.03,32,13,3,0.3525
EMP_00164,Male,Service,Yes,4,2.9,4.97,49,8,4,0.399
EMP_00165,Male,Service,Yes,4,7.8,5.89,39,7,26,0.65
EMP_00166,Female,Product,Yes,3,2.3,7.82,50,19,5,0.1592
EMP_00167,Male,Service,Yes,5,5.4,2.27,69,12,23,0.6169
EMP_00168,Male,Product,No,3,4.8,1.28,38,18,26,0.3907
EMP_00169,Male,Product,Yes,1,6.9,4.83,31,15,7,0.2234
EMP_00170,Female,Product,Yes,3,9.3,1.58,57,12,18,0.5087
EMP_00171,Female,Product,No,3,9.5,6.94,32,6,19,0.547
EMP_00172,Male,Service,Yes,4,2.5,5.76,45,17,20,0.2733
EMP_00173,Male,Product,No,5,3.4,7.41,33,4,28,0.5475
EMP_00174,Male,Service,No,3,8.3,0.63,52,12,18,0.5323
EMP_00175,Female,Product,No,2,5.7,9.65,59,17,13,0.5285
EMP_00176,Male,Product,No,4,5.1,0.0,67,5,5,0.5463
EMP_00177,Female,Service,Yes,4,7.4,3.25,42,6,12,0.5788
EMP_00178,Male,Service,Yes,3,6.4,6.8,35,15,20,0.4981
EMP_00179,Non-binary,Product,Yes,2,9.7,0.45,39,8,18,0.4159
EMP_00180,Male,Product,Yes,3,6.3,0.83,46,16,11,0.4224
EMP_00181,Male,Product,Yes,2,5.2,0.77,37,13,23,0.3468
EMP_00182,Male,Product,Yes,4,5.9,5.82,38,15,3,0.5207
EMP_00183,Female,Service,No,2,8.3,8.96,63,13,13,0.6155
EMP_00184,Female,Service,Yes,3,6.5,5.55,46,15,13,0.4744
EMP_00185,Male,Product,Yes,1,6.8,6.04,51,2,29,0.56
EMP_00186,Female,Service,Yes,1,9.7,3.46,32,18,15,0.4791
EMP_00187,Female,Service,Yes,2,6.6,0.19,69,7,10,0.5486
EMP_00188,Female,Product,No,3,4.4,0.22,58,9,21,0.3787
EMP_00189,Male,Product,Yes,5,7.2,8.88,68,7,29,0.7469
EMP_00190,Male,Service,No,1,6.9,1.03,56,9,11,0.4692
EMP_00191,Male,Service,Yes,4,1.1,10.0,68,12,27,0.3981
EMP_00192,Female,Product,Yes,3,5.2,1.64,69,10,8,0.5298
EMP_00193,Female,Product,Yes,3,7.7,6.75,66,10,6,0.6131
EMP_00194,Female,Product,No,1,5.5,9.49,32,13,11,0.2905
EMP_00195,Male,Service,Yes,5,8.0,3.62,48,5,29,0.7032
EMP_00196,Male,Product,Yes,4,5.1,7.34,63,8,27,0.5046
EMP_00197,Female,Product,Yes,5,9.8,3.51,43,10,17,0.7247
EMP_00198,Female,Service,No,4,3.6,3.05,50,6,20,0.4285
EMP_00199,Female,Service,No,1,1.8,2.02,31,11,28,0.168
EMP_00200,Female,Service,Yes,3,4.9,8.21,39,4,24,0.4235
EMP_00201,Female,Product,Yes,4,5.9,2.57,46,2,29,0.6692
EMP_00202,Male,Product,No,3,4.1,2.83,31,6,6,0.3248
EMP_00203,Male,Product,No,2,3.2,9.99,56,13,21,0.3948
EMP_00204,Female,Product,No,2,7.0,3.27,30,12,28,0.3861
EMP_00205,Female,Service,No,1,4.4,4.23,65,14,18,0.3604
EMP_00206,Male,Product,No,1,6.7,9.9,62,8,8,0.536
EMP_00207,Male,Product,Yes,1,8.0,3.69,51,3,29,0.5111
EMP_00208,Female,Product,No,2,7.8,3.66,64,5,14,0.5777
EMP_00209,Male,Product,No,4,4.4,8.28,63,7,17,0.5493
EMP_00210,Male,Service,Yes,5,6.1,3.12,47,18,17,0.4117
EMP_00211,Male,Product,Yes,1,5.0,2.34,65,6,17,0.4527
EMP_00212,Female,Product,No,5,8.8,4.23,32,18,18,0.5815
EMP_00213,Female,Product,Yes,5,8.9,7.01,45,8,16,0.7021
EMP_00214,Male,Product,No,2,4.1,0.43,40,7,10,0.324
EMP_00215,Female,Product,Yes,4,1.8,3.74,39,2,27,0.3733
EMP_00216,Male,Service,Yes,2,2.5,3.46,50,4,27,0.2368
EMP_00217,Male,Service,Yes,1,4.3,2.45,54,9,4,0.3048
EMP_00218,Female,Service,Yes,2,6.1,6.54,64,16,17,0.4469
EMP_00219,Female,Service,Yes,2,6.9,2.9,35,19,10,0.3058
EMP_00220,Female,Service,Yes,2,4.0,6.07,37,10,13,0.33
EMP_00221,Female,Service,No,1,7.0,5.04,63,8,18,0.5277
EMP_00222,Female,Product,No,1,9.4,2.17,30,16,10,0.3712
EMP_00223,Male,Product,Yes,2,6.9,2.67,32,8,7,0.3521
EMP_00224,Male,Product,Yes,2,2.4,1.71,67,4,22,0.3778
EMP_00225,Male,Service,Yes,5,6.2,0.57,56,13,27,0.5867
EMP_00226,Male,Service,Yes,4,5.9,6.19,42,10,6,0.605
EMP_00227,Non-binary,Service,Yes,5,8.8,6.73,48,9,14,0.6901
EMP_00228,Male,Product,Yes,4,4.2,1.66,48,12,12,0.4277
EMP_00229,Female,Service,Yes,4,4.8,6.15,35,15,6,0.4746
EMP_00230,Female,Product,Yes,2,6.4,9.82,43,1,21,0.4929
EMP_00231,Female,Product,Yes,5,5.7,0.74,34,12,12,0.5163
EMP_00232,Male,Product,No,4,7.5,4.9,65,14,21,0.6386
EMP_00233,Female,Product,Yes,4,1.4,7.33,38,2,21,0.4289
EMP_00234,Male,Product,No,1,6.1,0.46,52,3,13,0.3995
EMP_00235,Male,Product,No,4,2.1,7.78,61,6,25,0.4197
EMP_00236,Female,Product,No,2,3.8,9.8,58,19,15,0.32
EMP_00237,Male,Service,No,3,7.0,0.88,57,13,23,0.5016
EMP_00238,Male,Service,Yes,1,2.4,8.22,69,8,27,0.2714
EMP_00239,Female,Service,Yes,3,3.8,3.79,40,4,4,0.4387
EMP_00240,Male,Product,Yes,2,7.3,1.44,48,19,16,0.4346
EMP_00241,Non-binary,Service,No,3,6.9,4.93,30,7,22,0.4271
EMP_00242,Non-binary,Service,No,4,1.8,0.72,38,7,20,0.3793
EMP_00243,Female,Product,No,3,6.2,5.22,31,1,29,0.456
EMP_00244,Male,Product,Yes,5,2.3,0.19,33,19,18,0.2537
EMP_00245,Male,Product,No,2,3.3,7.29,58,17,26,0.3151
EMP_00246,Female,Product,Yes,5,5.1,4.88,33,8,6,0.5231
EMP_00247,Male,Service,Yes,3,2.0,4.59,30,15,3,0.2953
EMP_00248,Non-binary,Service,No,5,9.9,1.96,57,19,28,0.7085
EMP_00249,Non-binary,Product,Yes,1,2.5,3.61,47,7,5,0.2705
EMP_00250,Female,Service,No,3,8.0,1.82,42,13,14,0.4694
EMP_00251,Male,Service,Yes,5,8.5,7.35,69,1,25,0.8081
EMP_00252,Male,Service,No,4,10.0,1.99,35,7,5,0.6129
EMP_00253,Female,Product,Yes,3,4.9,6.17,68,5,23,0.5231
EMP_00254,Male,Service,No,1,8.9,2.8,51,18,20,0.5181
EMP_00255,Male,Product,No,4,9.6,6.57,59,8,26,0.7308
EMP_00256,Female,Service,No,3,2.6,5.4,56,15,6,0.3435
EMP_00257,Non-binary,Product,Yes,4,5.3,4.23,37,18,19,0.3824
EMP_00258,Female,Product,No,3,1.5,6.73,57,6,14,0.3266
EMP_00259,Female,Service,Yes,3,6.6,4.16,31,5,22,0.4993
EMP_00260,Male,Product,Yes,2,6.2,8.21,49,11,10,0.4637
EMP_00261,Female,Product,Yes,5,2.8,7.3,40,8,27,0.5198
EMP_00262,Non-binary,Product,No,3,8.2,5.41,43,9,19,0.543
EMP_00263,Male,Service,Yes,1,1.3,8.77,53,13,16,0.1876
EMP_00264,Male,Product,No,5,8.3,8.29,42,3,24,0.695
EMP_00265,Female,Service,No,2,1.2,5.32,37,3,22,0.2779
EMP_00266,Female,Product,Yes,5,6.9,0.68,50,7,13,0.6777
EMP_00267,Female,Product,No,5,1.7,5.66,51,3,10,0.5326
EMP_00268,Female,Product,Yes,3,3.3,3.55,38,11,3,0.415
EMP_00269,Male,Product,No,1,7.5,5.4,40,14,23,0.327
EMP_00270,Male,Product,Yes,3,3.5,6.47,45,10,19,0.4004
EMP_00271,Female,Product,Yes,1,5.6,6.45,38,9,22,0.3771
EMP_00272,Female,Service,Yes,1,9.2,6.74,32,12,20,0.3846
EMP_00273,Female,Service,Yes,4,1.4,6.79,65,8,12,0.4757
EMP_00274,Female,Product,Yes,3,8.3,1.09,42,12,11,0.404
EMP_00275,Male,Product,Yes,2,1.6,1.92,30,9,4,0.1814
EMP_00276,Male,Service,Yes,5,2.1,6.31,40,18,22,0.2653
EMP_00277,Female,Product,Yes,4,2.1,4.08,53,17,5,0.4824
EMP_00278,Female,Product,Yes,2,9.9,7.63,34,11,3,0.5501
EMP_00279,Female,Service,No,3,2.6,1.25,31,2,3,0.386
EMP_00280,Female,Service,Yes,1,9.1,1.92,46,19,20,0.4129
EMP_00281,Female,Service,No,3,9.9,5.58,46,14,10,0.5701
EMP_00282,Male,Product,No,3,4.5,5.01,49,3,20,0.5384
EMP_00283,Male,Product,No,4,6.7,2.66,44,6,3,0.5663
EMP_00284,Male,Service,No,2,8.0,4.08,33,4,24,0.4523
EMP_00285,Female,Product,Yes,4,4.5,0.35,40,12,19,0.3744
EMP_00286,Male,Product,No,2,2.5,0.37,52,2,12,0.292
EMP_00287,Male,Product,Yes,4,4.9,0.95,30,6,11,0.4392
EMP_00288,Male,Product,No,5,7.9,5.77,33,5,24,0.6456
EMP_00289,Male,Service,No,1,8.0,8.64,67,5,12,0.5725
EMP_00290,Female,Service,Yes,1,3.1,2.6,31,8,24,0.2424
EMP_00291,Male,Service,No,1,2.6,0.34,56,5,3,0.4182
EMP_00292,Male,Product,Yes,5,9.3,7.09,63,8,18,0.7932
EMP_00293,Female,Product,Yes,5,1.4,8.55,42,1,9,0.4346
EMP_00294,Male,Product,Yes,1,7.6,1.38,47,9,5,0.5445
EMP_00295,Male,Product,No,1,1.4,3.86,40,14,19,0.211
EMP_00296,Male,Service,No,2,8.5,1.59,34,2,11,0.5631
EMP_00297,Female,Product,No,2,9.1,1.06,58,11,17,0.5632
EMP_00298,Male,Product,Yes,3,3.7,6.48,54,4,10,0.4866
EMP_00299,Female,Product,Yes,4,1.7,9.68,43,4,6,0.306
EMP_00300,Male,Service,No,2,5.3,6.78,67,17,21,0.3378
EMP_00301,Male,Product,Yes,2,3.7,9.85,66,16,4,0.4208
EMP_00302,Male,Product,No,2,4.8,4.34,40,7,4,0.4542
EMP_00303,Male,Product,Yes,2,7.0,8.98,61,12,15,0.4305
EMP_00304,Female,Service,Yes,5,2.9,2.05,35,17,29,0.3035
EMP_00305,Female,Product,Yes,3,4.2,1.18,35,5,21,0.3569
EMP_00306,Non-binary,Service,No,2,8.0,7.03,51,8,3,0.5043
EMP_00307,Male,Service,Yes,4,6.8,3.71,32,5,28,0.5655
EMP_00308,Male,Product,Yes,2,3.9,3.18,48,11,25,0.3683
EMP_00309,Female,Service,Yes,5,7.0,6.71,63,19,17,0.5563
EMP_00310,Male,Product,Yes,1,7.9,3.33,36,19,4,0.271
EMP_00311,Male,Service,Yes,1,6.3,5.73,45,4,18,0.3806
EMP_00312,Male,Product,Yes,3,3.2,2.99,67,11,24,0.3863
EMP_00313,Male,Product,No,1,1.0,7.84,38,19,16,0.1785
EMP_00314,Non-binary,Product,Yes,2,8.2,3.12,42,5,8,0.5361
EMP_00315,Female,Product,No,5,8.4,5.35,63,2,13,0.8875
EMP_00316,Female,Service,No,3,7.3,0.23,66,19,16,0.529
EMP_00317,Male,Product,Yes,2,1.7,7.92,35,17,22,0.1532
EMP_00318,Male,Service,Yes,1,6.3,6.2,67,18,6,0.403
EMP_00319,Male,Product,No,4,8.4,1.92,33,15,19,0.5003
EMP_00320,Male,Service,Yes,2,4.5,2.15,34,16,18,0.2122
EMP_00321,Male,Product,Yes,4,2.8,2.62,35,12,29,0.3213
EMP_00322,Female,Product,Yes,4,6.3,5.77,42,8,8,0.5882
EMP_00323,Female,Product,No,3,8.4,5.48,53,6,10,0.601
EMP_00324,Male,Service,Yes,5,1.4,2.74,57,18,15,0.3376
EMP_00325,Non-binary,Product,No,1,6.4,6.94,42,11,28,0.3561
EMP_00326,Female,Product,No,1,6.8,8.89,47,6,6,0.5359
EMP_00327,Female,Product,Yes,2,6.4,0.44,36,17,18,0.3217
EMP_00328,Female,Service,Yes,1,6.9,4.17,33,10,19,0.354
EMP_00329,Male,Product,Yes,3,6.7,5.94,60,19,6,0.4668
EMP_00330,Male,Service,Yes,1,2.2,5.86,53,15,18,0.2285
EMP_00331,Male,Product,Yes,2,3.1,0.2,51,16,4,0.2546
EMP_00332,Female,Service,Yes,1,6.6,2.11,50,17,22,0.3888
EMP_00333,Male,Service,Yes,5,1.2,0.62,55,7,26,0.3916
EMP_00334,Male,Product,Yes,4,6.7,5.69,59,19,15,0.6158
EMP_00335,Male,Product,Yes,4,7.0,6.45,64,8,5,0.6105
EMP_00336,Male,Product,No,4,3.2,1.6,52,8,23,0.4357
EMP_00337,Female,Product,Yes,5,6.4,3.33,69,5,12,0.7165
EMP_00338,Female,Product,No,3,5.8,3.3,59,11,29,0.4898
EMP_00339,Male,Service,Yes,2,3.3,8.2,48,2,20,0.4099
EMP_00340,Male,Product,Yes,5,5.2,1.95,61,18,27,0.4647
EMP_00341,Male,Service,Yes,2,9.2,5.48,48,4,5,0.6465
EMP_00342,Male,Product,Yes,3,4.8,7.83,51,12,3,0.4539
EMP_00343,Male,Service,Yes,5,6.7,8.3,33,4,25,0.6362
EMP_00344,Male,Product,No,1,1.3,6.67,41,5,13,0.13
EMP_00345,Male,Product,No,3,1.7,3.0,44,17,7,0.2603
EMP_00346,Female,Product,Yes,4,1.7,8.23,44,19,27,0.3287
EMP_00347,Female,Product,Yes,5,8.0,7.42,39,10,5,0.5136
EMP_00348,Male,Product,Yes,3,4.2,7.04,48,14,13,0.4242
EMP_00349,Male,Service,Yes,3,3.0,0.67,37,15,3,0.2535
EMP_00350,Female,Service,Yes,5,7.7,0.43,60,14,17,0.5455
EMP_00351,Male,Product,Yes,4,2.5,6.95,38,16,9,0.2794
EMP_00352,Female,Product,Yes,4,3.2,9.45,58,8,26,0.4329
EMP_00353,Female,Product,Yes,3,4.9,7.74,36,9,29,0.386
EMP_00354,Male,Product,Yes,2,4.0,8.31,37,8,4,0.3837
EMP_00355,Male,Product,Yes,3,6.3,5.45,46,11,17,0.5141
EMP_00356,Female,Service,Yes,5,4.0,3.05,44,12,20,0.4932
EMP_00357,Male,Service,No,5,4.5,6.78,45,14,27,0.4808
EMP_00358,Female,Service,Yes,5,8.8,7.12,36,18,6,0.7401
EMP_00359,Non-binary,Product,No,4,9.0,6.75,48,12,3,0.5257
EMP_00360,Female,Service,No,1,8.4,9.47,67,4,11,0.5614
EMP_00361,Male,Service,No,5,8.8,3.67,54,13,11,0.6947
EMP_00362,Female,Product,No,5,6.1,0.4,41,16,24,0.4579
EMP_00363,Male,Product,No,2,6.8,9.08,61,10,8,0.5157
EMP_00364,Male,Service,No,2,6.0,1.6,39,11,16,0.3808
EMP_00365,Non-binary,Product,Yes,3,8.1,6.97,53,12,11,0.564
EMP_00366,Male,Product,Yes,3,6.0,8.73,33,18,4,0.3284
EMP_00367,Non-binary,Product,No,3,2.0,3.1,66,2,11,0.472
EMP_00368,Female,Service,No,5,8.3,8.3,68,19,15,0.7255
EMP_00369,Male,Product,No,2,7.8,3.32,33,5,22,0.5698
EMP_00370,Male,Service,No,3,8.4,7.94,65,10,22,0.5544
EMP_00371,Male,Service,No,2,2.7,0.7,66,16,27,0.3207
EMP_00372,Male,Service,No,5,3.4,6.55,54,12,25,0.4481
